Annee,country,Eight Regions,Four Regions,Geo,Members Oecd G77,Six Regions,UN member since,World bank income group 2017,World bank region,CO2 par habitant,Latitude,Longitude
2007,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0854,33.0,66.0
2008,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.154,33.0,66.0
2009,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.242,33.0,66.0
2010,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.294,33.0,66.0
2011,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.412,33.0,66.0
2012,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.35,33.0,66.0
2013,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.316,33.0,66.0
2014,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.299,33.0,66.0
1960,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.26,41.0,20.0
1961,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.37,41.0,20.0
1962,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.44,41.0,20.0
1963,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.18,41.0,20.0
1964,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.11,41.0,20.0
1965,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.17,41.0,20.0
1966,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.33,41.0,20.0
1967,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.36,41.0,20.0
1968,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.52,41.0,20.0
1969,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.56,41.0,20.0
1970,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.75,41.0,20.0
1971,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.99,41.0,20.0
